#SampleID	FoodID	Experiment	Type	Plant	Day
Cab1P3	Cab1	Lab	liquid	Cabbage	three
Cab2P3	Cab2	Lab	liquid	Cabbage	three
Cab3P3	Cab3	Lab	liquid	Cabbage	three
Cab4P3	Cab4	Lab	liquid	Cabbage	three
Dan5P3	Dan5	Lab	liquid	Dandelion	three
Dan6P3	Dan6	Lab	liquid	Dandelion	three
Dan7P3	Dan7	Lab	liquid	Dandelion	three
KC1d3P3	KC1d3	Kimchi	liquid	Cabbage	three
KC2d3P3	KC2d3	Kimchi	liquid	Cabbage	three
KC3d3P3	KC3d3	Kimchi	liquid	Cabbage	three
KC4d3P3	KC4d3	Kimchi	liquid	Cabbage	three
KC5d3P3	KC5d3	Kimchi	liquid	Cabbage	three
KC6d3P3	KC6d3	Kimchi	liquid	Cabbage	three
KC7d3P3	KC7d3	Kimchi	liquid	Cabbage	three
KC8d3P3	KC8d3	Kimchi	liquid	Cabbage	three
KC9d3P3	KC9d3	Kimchi	liquid	Cabbage	three
KC10d3P3	KC10d3	Kimchi	liquid	Cabbage	three
KC11d3P3	KC11d3	Kimchi	liquid	Cabbage	three
KC12d3P3	KC12d3	Kimchi	liquid	Cabbage	three
KR1d3P3	KR1d3	Kimchi	liquid	Radish	three
KR2d3P3	KR2d3	Kimchi	liquid	Radish	three
KR3d3P3	KR3d3	Kimchi	liquid	Radish	three
KR4d3P3	KR4d3	Kimchi	liquid	Radish	three
KR5d3P3	KR5d3	Kimchi	liquid	Radish	three
KR6d3P3	KR6d3	Kimchi	liquid	Radish	three
KR7d3P3	KR7d3	Kimchi	liquid	Radish	three
KR8d3P3	KR8d3	Kimchi	liquid	Radish	three
KR9d3P3	KR9d3	Kimchi	liquid	Radish	three
KR10d3P3	KR10d3	Kimchi	liquid	Radish	three
KC1d10P3	KC1d10	Kimchi	liquid	Cabbage	ten
KC2d10P3	KC2d10	Kimchi	liquid	Cabbage	ten
KC3d10P3	KC3d10	Kimchi	liquid	Cabbage	ten
KC4d10P3	KC4d10	Kimchi	liquid	Cabbage	ten
KC5d10P3	KC5d10	Kimchi	liquid	Cabbage	ten
KC6d10P3	KC6d10	Kimchi	liquid	Cabbage	ten
KC7d10P3	KC7d10	Kimchi	liquid	Cabbage	ten
KC8d10P3	KC8d10	Kimchi	liquid	Cabbage	ten
KC9d10P3	KC9d10	Kimchi	liquid	Cabbage	ten
KC10d10P3	KC10d10	Kimchi	liquid	Cabbage	ten
KC11d10P3	KC11d10	Kimchi	liquid	Cabbage	ten
KC12d10P3	KC12d10	Kimchi	liquid	Cabbage	ten
KR1d10P3	KR1d10	Kimchi	liquid	Radish	ten
KR2d10P3	KR2d10	Kimchi	liquid	Radish	ten
KR3d10P3	KR3d10	Kimchi	liquid	Radish	ten
KR4d10P3	KR4d10	Kimchi	liquid	Radish	ten
KR5d10P3	KR5d10	Kimchi	liquid	Radish	ten
KR6d10P3	KR6d10	Kimchi	liquid	Radish	ten
KR7d10P3	KR7d10	Kimchi	liquid	Radish	ten
KR8d10P3	KR8d10	Kimchi	liquid	Radish	ten
KR9d10P3	KR9d10	Kimchi	liquid	Radish	ten
KR10d10P3	KR10d10	Kimchi	liquid	Radish	ten
Td3P3	Td3	Chow	liquid	Tomato	three
Od3P3	Od3	Chow	liquid	Onion	three
Pd3P3	Pd3	Chow	liquid	Pepper	three
Cd3P3	Cd3	Chow	liquid	Cabbage	three
TOd3P3	TOd3	Chow	liquid	TomatoOnion	three
