#SampleID	FoodID	Experiment	Type	Plant	Day
StarterLauraITS	StarterLaura	tea	liquid	starter	na
G2d4ITS	G2d4	tea	liquid	green	four
G3d4ITS	G3d4	tea	liquid	green	four
G4d4ITS	G4d4	tea	liquid	green	four
G5d4ITS	G5d4	tea	liquid	green	four
G6d4ITS	G6d4	tea	liquid	green	four
B2d4ITS	B2d4	tea	liquid	black	four
B3d4ITS	B3d4	tea	liquid	black	four
B4d4ITS	B4d4	tea	liquid	black	four
B5d4ITS	B5d4	tea	liquid	black	four
B6d4ITS	B6d4	tea	liquid	black	four
GB2d4ITS	GB2d4	tea	liquid	greenblack	four
GB3d4ITS	GB3d4	tea	liquid	greenblack	four
GB4d4ITS	GB4d4	tea	liquid	greenblack	four
GB5d4ITS	GB5d4	tea	liquid	greenblack	four
GB6d4ITS	GB6d4	tea	liquid	greenblack	four
GB7d4ITS	GB7d4	tea	liquid	greenblack	four
G2d8ITS	G2d8	tea	liquid	green	eight
G3d8ITS	G3d8	tea	liquid	green	eight
G4d8ITS	G4d8	tea	liquid	green	eight
G5d8ITS	G5d8	tea	liquid	green	eight
G6d8ITS	G6d8	tea	liquid	green	eight
B2d8ITS	B2d8	tea	liquid	black	eight
B3d8ITS	B3d8	tea	liquid	black	eight
B4d8ITS	B4d8	tea	liquid	black	eight
B5d8ITS	B5d8	tea	liquid	black	eight
B6d8ITS	B6d8	tea	liquid	black	eight
GB2d8ITS	GB2d8	tea	liquid	greenblack	eight
GB3d8ITS	GB3d8	tea	liquid	greenblack	eight
GB4d8ITS	GB4d8	tea	liquid	greenblack	eight
GB5d8ITS	GB5d8	tea	liquid	greenblack	eight
GB6d8ITS	GB6d8	tea	liquid	greenblack	eight
GB7d8ITS	GB7d8	tea	liquid	greenblack	eight
starterD4ITS	starterD4	tea	liquid	starter	four
starterD8ITS	starterD8	tea	liquid	starter	eight
