"JarID","Experiment","Day","pH","ControlSample"
"T","Chow","0","6.9","sample"
"O","Chow","0","6.9","sample"
"P","Chow","0","7","sample"
"C","Chow","0","7.1","sample"
"TO","Chow","0","6.9","sample"
"TP","Chow","0","6.9","sample"
"TC","Chow","0","7.3","sample"
"OP1","Chow","0","6.9","sample"
"OP2","Chow","0","6.7","sample"
"OC","Chow","0","7","sample"
"PC1","Chow","0","7","sample"
"PC2","Chow","0","6.7","sample"
"TOP","Chow","0","6.9","sample"
"TOC","Chow","0","6.8","sample"
"TPC","Chow","0","6.7","sample"
"OPC1","Chow","0","6.8","sample"
"OPC2","Chow","0","6.8","sample"
"TOPC1","Chow","0","6.9","sample"
"TOPC2","Chow","0","7","sample"
"TOPC3","Chow","0","7","sample"
"TOPC4","Chow","0","6.6","sample"
"TOPC5","Chow","0","7","sample"
"TOPC ","Chow","0","6.9","sample"
"brine","Chow","3","7.9","brine"
"T","Chow","3","4.04","sample"
"O","Chow","3","4.89","sample"
"P","Chow","3","3.89","sample"
"C","Chow","3","4.34","sample"
"TO","Chow","3","4.23","sample"
"TP","Chow","3","3.91","sample"
"TC","Chow","3","4.04","sample"
"OP1","Chow","3","3.9","sample"
"OP2","Chow","3","4.71","sample"
"OC","Chow","3","4.17","sample"
"PC1","Chow","3","4.02","sample"
"PC2","Chow","3","3.9","sample"
"TOP","Chow","3","4","sample"
"TOC","Chow","3","4.09","sample"
"TPC","Chow","3","3.96","sample"
"OPC1","Chow","3","4.33","sample"
"OPC2","Chow","3","3.98","sample"
"TOPC1","Chow","3","4.04","sample"
"TOPC2","Chow","3","4.26","sample"
"TOPC3","Chow","3","3.98","sample"
"TOPC4","Chow","3","4.11","sample"
"TOPC5","Chow","3","4.11","sample"
"TOPC6","Chow","3","4.11","sample"
"TOPC7","Chow","3","4.19","sample"
"T","Chow","10","4.07","sample"
"O","Chow","10","4.33","sample"
"P","Chow","10","3.74","sample"
"C","Chow","10","4.2","sample"
"TO","Chow","10","3.9","sample"
"TP","Chow","10","3.8","sample"
"TC","Chow","10","3.9","sample"
"OP1","Chow","10","3.5","sample"
"OP2","Chow","10","3.88","sample"
"OC","Chow","10","4.6","sample"
"PC1","Chow","10","3.91","sample"
"PC2","Chow","10","3.84","sample"
"TOP","Chow","10","4.05","sample"
"TOC","Chow","10","4.06","sample"
"TPC","Chow","10","3.87","sample"
"OPC1","Chow","10","3.81","sample"
"OPC2","Chow","10","3.77","sample"
"TOPC1","Chow","10","3.95","sample"
"TOPC2","Chow","10","4.14","sample"
"TOPC3","Chow","10","3.85","sample"
"TOPC4","Chow","10","3.77","sample"
"TOPC5","Chow","10","3.74","sample"
"TOPC6","Chow","10","3.91","sample"
"TOPC7","Chow","10","3.54","sample"
"KC1","Kimchi","3","5.19","sample"
"KC2","Kimchi","3","5.16","sample"
"KC3","Kimchi","3","5.4","sample"
"KC4","Kimchi","3","5.25","sample"
"KC5","Kimchi","3","4.47","sample"
"KC6","Kimchi","3","4.78","sample"
"KC7","Kimchi","3","5.28","sample"
"KC8","Kimchi","3","5.25","sample"
"KC9","Kimchi","3","5.22","sample"
"KC10","Kimchi","3","4.51","sample"
"KC11","Kimchi","3","5.17","sample"
"KC12","Kimchi","3","5.37","sample"
"KR1","Kimchi","3","4.33","sample"
"KR2","Kimchi","3","4.14","sample"
"KR3","Kimchi","3","4.27","sample"
"KR4","Kimchi","3","4.38","sample"
"KR5","Kimchi","3","4.4","sample"
"KR6","Kimchi","3","4.3","sample"
"KR7","Kimchi","3","4.21","sample"
"KR8","Kimchi","3","4.25","sample"
"KR9","Kimchi","3","4.21","sample"
"KR10","Kimchi","3","4.24","sample"
"KC1","Kimchi","10","3.88","sample"
"KC2","Kimchi","10","3.92","sample"
"KC3","Kimchi","10","3.89","sample"
"KC4","Kimchi","10","3.92","sample"
"KC5","Kimchi","10","3.97","sample"
"KC6","Kimchi","10","3.91","sample"
"KC7","Kimchi","10","4","sample"
